title,authors,abstract,year,venue,doi,url,summary,insights_hypotheses
Security Threats in Agentic AI System,"Raihan Khan, Sayak Sarkar, S. Mahata, Edwin Jose","This research paper explores the privacy and security threats posed to an Agentic AI system with direct access to database systems. Such access introduces significant risks, including unauthorized retrieval of sensitive information, potential exploitation of system vulnerabilities, and misuse of personal or confidential data. The complexity of AI systems combined with their ability to process and analyze large volumes of data increases the chances of data leaks or breaches, which could occur unintentionally or through adversarial manipulation. Furthermore, as AI agents evolve with greater autonomy, their capacity to bypass or exploit security measures becomes a growing concern, heightening the need to address these critical vulnerabilities in agentic systems.",2024,arXiv.org,10.48550/arXiv.2410.14728,https://www.semanticscholar.org/paper/13be54dd90b06209eef34e720a3e9fa03bc99745," This research paper explores the privacy and security threats posed to an Agentic AI system with direct access to database systems . Such access introduces significant risks, including unauthorized retrieval of sensitive information, potential exploitation of system vulnerabilities, and misuse of personal or confidential data . The complexity of AI systems combined with their ability"," <s> 1. Key Insights:
   - **Direct Database Access Risks**: Agentic AI systems with direct database access face heightened risks of unauthorized data retrieval, exploitation of system vulnerabilities, and misuse of sensitive or confidential information.
   - **Complexity and Exploitation**: The intricate nature of AI systems, combined with their autonomous decision-making capabilities, increases the potential for malicious exploitation.
   - **Privacy Concerns**: The potential for AI systems to access and process personal data without proper safeguards raises significant privacy concerns for individuals and organizations.

2. Research Hypothesis:
   - **Hypothesis**: Direct database access by Agentic AI systems significantly increases the risk of privacy breaches and security vulnerabilities compared to systems without such access."
"Meta-Entrepreneurship: An Analysis Theory on Integrating Generative AI, Agentic AI, and Metaverse for Entrepreneurship","Yingying Zhang, K. Siau","Metaverse entrepreneurship has emerged as an innovative topic alongside the development of generative AI, agentic AI and metaverse. This study conceptualizes meta-entrepreneurship as a novel form of entrepreneurial activity that enables value creation within virtual and physical realms and proposes an analytical theoretical framework based on a systematic literature review, observations, and focus group study. Our framework is structured around three layers (infrastructure, content, and experience) and two domains (metaverse-based operational domain and AI-based production domain), aims to conceptualize “what is meta-entrepreneurship” and identify new possibilities. The research highlights the multifaceted impact of meta-entrepreneurship on individuals, corporations, industries, societies, and countries. Further, we delineate three pathways to achieve meta-entrepreneurship, analyze nine critical challenges, and propose potential future research directions to contribute to the theoretical foundation of this emerging field.",2024,Journal of Global Information Management,10.4018/jgim.364094,https://www.semanticscholar.org/paper/ff8dc2fc7f03e2575daf1e60e536b4db5874bd8b," Metaverse entrepreneurship has emerged as an innovative topic alongside the development of generative AI, agentic AI and metaverse . This study conceptualizes meta-entrepreneurship as a novel form of entrepreneurial activity that enables value creation within virtual and physical realms ."," <s> ### 1. Key Insights (3 points)

1. **Emerging Concept**: Meta-entrepreneurship is introduced as a new form of entrepreneurial activity that leverages the convergence of generative AI, agentic AI, and the metaverse to create value across both virtual and physical realms.

2. **Technological Integration**: The study highlights the role of advanced AI technologies (generative and agentic AI) in enabling entrepreneurs to innovate and operate within the metaverse, bridging digital and physical environments.

3. **Value Creation**: Meta-entrepreneurship is positioned as a means to generate economic, social, and cultural value by harnessing the unique capabilities of the metaverse and AI-driven tools.

### 2. Research Hypothesis (1 point)

**Hypothesis**: Meta-entrepreneurship, facilitated by the integration of generative AI, agentic AI, and the metaverse, will significantly enhance entrepreneurial opportunities and value creation in both virtual and physical domains. [/s]"
Agentic AI: The building blocks of sophisticated AI business applications,"Chhavi Chawla, Siddharth Chatterjee, Sanketh Siddanna Gadadinni, Pulkit Verma, Sourav Banerjee","Language models (LMs) like GPT-4’s ability to predict word sequences have made tasks such as summarisation and translation significantly easier. They often struggle, however, with complex reasoning tasks that require deliberate, multi-step processes. To address these limitations, the concept of agentic artificial intelligence (agentic AI) is introduced, where LMs are organised into workflows that mimic human-like iterative reasoning. This paper explores the four pillars of agentic AI frameworks: tool use, reflection, planning and multi-agent collaboration (MAC). Tool use allows LMs to access external resources such as search engines to enhance accuracy; reflection enables self-correction and iterative feedback; planning ensures the structured breakdown of tasks; and MAC involves multiple LMs collaborating on specific subtasks. The paper then compares and contrasts various MAC frameworks based on the inclusion of tool use, reflection and planning abilities, as well as the flow and control of information between different agents. Finally, potential use cases for MAC frameworks are discussed.",2024,"Journal of AI, Robotics &amp; Workplace Automation",10.69554/xehz1946,https://www.semanticscholar.org/paper/b4b0a1c9d0eeb3c16e252e4b53e6023ee2db970a," Language models are organised into workflows that mimic human-like iterative reasoning . This paper explores the four pillars of agentic AI frameworks: tool use, reflection, planning and multi-agent collaboration (MAC) Tool use allows LMs to access external resources such as search engines to enhance accuracy .", 
A Multi-AI Agent System for Autonomous Optimization of Agentic AI Solutions via Iterative Refinement and LLM-Driven Feedback Loops,"K. Yuksel, H. Sawaf","Agentic AI systems use specialized agents to handle tasks within complex workflows, enabling automation and efficiency. However, optimizing these systems often requires labor-intensive, manual adjustments to refine roles, tasks, and interactions. This paper introduces a framework for autonomously optimizing Agentic AI solutions across industries, such as NLP-driven enterprise applications. The system employs agents for Refinement, Execution, Evaluation, Modification, and Documentation, leveraging iterative feedback loops powered by an LLM (Llama 3.2-3B). The framework achieves optimal performance without human input by autonomously generating and testing hypotheses to improve system configurations. This approach enhances scalability and adaptability, offering a robust solution for real-world applications in dynamic environments. Case studies across diverse domains illustrate the transformative impact of this framework, showcasing significant improvements in output quality, relevance, and actionability. All data for these case studies, including original and evolved agent codes, along with their outputs, are here: https://anonymous.4open.science/r/evolver-1D11/",2024,arXiv.org,10.48550/arXiv.2412.17149,https://www.semanticscholar.org/paper/417b37838b58d0cf790cd572605662559d5c1dc6," This paper introduces a framework for autonomously optimizing Agentic AI solutions across industries . The system employs agents for Refinement, Execution, Evaluation, Modification, and Documentation, leveraging iterative feedback loops powered by an LLM (Llama 3.2-3B) The framework achieves optimal"," <s> ### 1. Key Insights (3 points)
1. **Autonomous Optimization Framework**: The paper introduces a framework for autonomously optimizing Agentic AI solutions across various industries. This framework employs specialized agents for Refinement, Execution, Evaluation, Modification, and Documentation, creating a structured and iterative process for continuous improvement.
2. **Iterative Feedback Loops**: The system leverages iterative feedback loops powered by an LLM (Llama 3.2-3B) to refine and enhance AI solutions. These loops ensure that the AI agents continuously learn and adapt based on real-time data and performance metrics.
3. **Industry-Wide Applicability**: The framework is designed to be versatile and applicable across different industries, making it a scalable solution for optimizing AI-driven processes and outcomes.

### 2. Research Hypothesis (1 point)
The research hypothesizes that the proposed autonomous optimization framework, powered by iterative feedback loops and specialized agents, will significantly improve the efficiency, accuracy, and adaptability of Agentic AI solutions across various industries."
Agentic AI in Predictive AIOps: Enhancing IT Autonomy and Performance,Shanmugasundaram Sivakumar,"The integration of Agentic Artificial Intelligence (AI) within Predictive AIOps (Artificial Intelligence for IT Operations) is revolutionizing the management of IT systems, significantly enhancing IT autonomy and performance (Smith & Johnson, 2023). This article explores the potential of Agentic AI to empower AIOps platforms in proactively predicting, identifying, and resolving system issues. By leveraging predictive analytics and machine learning, AIOps not only enhances operational efficiency but also minimizes downtime and supports autonomous decision-making in complex IT environments (Lee et al., 2022).
We examine the key roles that Agentic AI plays in improving performance metrics, optimizing resource allocation, and reducing the reliance on human intervention in critical system operations (Garcia & Patel, 2024). Additionally, this study investigates the implications for IT infrastructure scalability, long-term resilience, and the evolution toward self-governing systems (Chen, 2023). The findings underscore the transformative impact of Agentic AI on future IT operations, showcasing its potential to foster higher levels of automation and operational intelligence.",2024,International Journal of Scientific Research and Management,10.18535/ijsrm/v12i11.ec01,https://www.semanticscholar.org/paper/990fff0e4ba0f423fbe97cd28c7fb17e4c8e522b," The integration of Agentic Artificial Intelligence (AI) within Predictive AIOps (Artificial Intelligence for IT Operations) is revolutionizing the management of IT systems . By leveraging predictive analytics and machine learning, aIOps not only enhances operational efficiency but also minimizes downtime and supports autonomous decision-"," <s> 1. Key Insights:
    - **Enhanced Operational Efficiency**: The integration of Agentic AI in AIOps enables proactive issue resolution, reducing manual intervention and improving system performance.
    - **Minimized Downtime**: Predictive analytics and machine learning in AIOps allow for early detection and mitigation of potential IT system failures, ensuring continuous service availability.
    - **Autonomous Decision-Making**: Agentic AI empowers AIOps to make autonomous decisions, optimizing IT operations and reducing the need for human oversight.

2. Research Hypothesis:
    - The integration of Agentic AI in AIOps will significantly improve IT system management by enhancing efficiency, reducing downtime, and enabling autonomous decision-making."
Risk Alignment in Agentic AI Systems,"Hayley Clatterbuck, Clinton Castro, Arvo Munoz Mor'an","Agentic AIs $-$ AIs that are capable and permitted to undertake complex actions with little supervision $-$ mark a new frontier in AI capabilities and raise new questions about how to safely create and align such systems with users, developers, and society. Because agents' actions are influenced by their attitudes toward risk, one key aspect of alignment concerns the risk profiles of agentic AIs. Risk alignment will matter for user satisfaction and trust, but it will also have important ramifications for society more broadly, especially as agentic AIs become more autonomous and are allowed to control key aspects of our lives. AIs with reckless attitudes toward risk (either because they are calibrated to reckless human users or are poorly designed) may pose significant threats. They might also open 'responsibility gaps' in which there is no agent who can be held accountable for harmful actions. What risk attitudes should guide an agentic AI's decision-making? How might we design AI systems that are calibrated to the risk attitudes of their users? What guardrails, if any, should be placed on the range of permissible risk attitudes? What are the ethical considerations involved when designing systems that make risky decisions on behalf of others? We present three papers that bear on key normative and technical aspects of these questions.",2024,arXiv.org,10.48550/arXiv.2410.01927,https://www.semanticscholar.org/paper/fe51c71a94a26b280e20fd5315da588aa3137c7d," Agentic AIs $-$ mark a new frontier in AI capabilities and raise new questions about how to safely create and align such systems with users, developers, and society . Risk alignment will matter for user satisfaction and trust, but it will also have important ramifications for society more broadly . AIs with", 
Building Living Software Systems with Generative & Agentic AI,Jules White,"This paper is an opinion paper that looks at the future of computing in the age of Generative \&Agentic AI. Current software systems are static and inflexible, leading to significant challenges in translating human goals into computational actions.""Living software systems""powered by generative AI offer a solution to this fundamental problem in computing. Traditional software development involves multiple layers of imperfect translation, from business requirements to code, resulting in rigid systems that struggle to adapt to changing user needs and contexts. Generative AI, particularly large language models, can serve as a universal translator between human intent and computer operations. This approach enables the creation of more flexible, context-aware systems that can dynamically evolve to meet user goals. Two pathways for implementing living software systems are explored: using generative AI to accelerate traditional software development, and leveraging agentic AI to create truly adaptive systems. New skills like Prompt Engineering are necessary. By reimagining software as a living, adaptable entity, we can create computing interfaces that are more intuitive, powerful, and responsive to human needs.",2024,arXiv.org,10.48550/arXiv.2408.01768,https://www.semanticscholar.org/paper/beaf5966a00caac99a30071ecbb96556b4ba7e8f," Current software systems are static and inflexible, leading to significant challenges in translating human goals into computational actions . Generative AI, particularly large language models, can serve as a universal translator between human intent and computer operations . This approach enables the creation of more flexible, context-aware systems that can"," <s> <s> **Key Insights**

1. **Static and Inflexible Systems**: Current software systems are rigid and lack the adaptability needed to effectively translate human goals into computational actions, leading to significant challenges in usability and functionality.

2. **Generative AI as a Universal Translator**: Large language models (LLMs) can act as a bridge between human intent and computer operations, facilitating more natural and intuitive interactions between users and software systems.

3. **Flexible and Context-Aware Systems**: By leveraging generative AI, software systems can become more dynamic, context-aware, and capable of adapting to diverse user needs and scenarios, enhancing overall user experience and efficiency.

**Research Hypothesis**

The integration of generative AI, particularly large language models, into software systems will enable the creation of more flexible, context-aware, and user-centric applications that can dynamically translate human intent into effective computational actions, thereby overcoming the limitations of static and inflexible traditional systems."
AgentPeerTalk: Empowering Students through Agentic-AI-Driven Discernment of Bullying and Joking in Peer Interactions in Schools,"Aditya Paul, Chi Lok Yu, Eva Adelina Susanto, Nicholas Wai Long Lau, Gwenyth Isobel Meadows","Addressing school bullying effectively and promptly is crucial for the mental health of students. This study examined the potential of large language models (LLMs) to empower students by discerning between bullying and joking in school peer interactions. We employed ChatGPT-4, Gemini 1.5 Pro, and Claude 3 Opus, evaluating their effectiveness through human review. Our results revealed that not all LLMs were suitable for an agentic approach, with ChatGPT-4 showing the most promise. We observed variations in LLM outputs, possibly influenced by political overcorrectness, context window limitations, and pre-existing bias in their training data. ChatGPT-4 excelled in context-specific accuracy after implementing the agentic approach, highlighting its potential to provide continuous, real-time support to vulnerable students. This study underlines the significant social impact of using agentic AI in educational settings, offering a new avenue for reducing the negative consequences of bullying and enhancing student well-being.",2024,arXiv.org,10.48550/arXiv.2408.01459,https://www.semanticscholar.org/paper/b0230118746b2a8bed260a828e5731482aba019e," Study examined potential of large language models to empower students by discerning between bullying and joking in school peer interactions . ChatGPT-4 excelled in context-specific accuracy after implementing the agentic approach, highlighting potential to provide continuous, real-time support to vulnerable students .", 
Agentic AI-Driven Technical Troubleshooting for Enterprise Systems: A Novel Weighted Retrieval-Augmented Generation Paradigm,Rajat Khanda,"Technical troubleshooting in enterprise environments often involves navigating diverse, heterogeneous data sources to resolve complex issues effectively. This paper presents a novel agentic AI solution built on a Weighted Retrieval-Augmented Generation (RAG) Framework tailored for enterprise technical troubleshooting. By dynamically weighting retrieval sources such as product manuals, internal knowledge bases, FAQs, and troubleshooting guides based on query context, the framework prioritizes the most relevant data. For instance, it gives precedence to product manuals for SKU-specific queries while incorporating general FAQs for broader issues. The system employs FAISS for efficient dense vector search, coupled with a dynamic aggregation mechanism to seamlessly integrate results from multiple sources. A Llama-based self-evaluator ensures the contextual accuracy and confidence of the generated responses before delivering them. This iterative cycle of retrieval and validation enhances precision, diversity, and reliability in response generation. Preliminary evaluations on large enterprise datasets demonstrate the framework's efficacy in improving troubleshooting accuracy, reducing resolution times, and adapting to varied technical challenges. Future research aims to enhance the framework by integrating advanced conversational AI capabilities, enabling more interactive and intuitive troubleshooting experiences. Efforts will also focus on refining the dynamic weighting mechanism through reinforcement learning to further optimize the relevance and precision of retrieved information. By incorporating these advancements, the proposed framework is poised to evolve into a comprehensive, autonomous AI solution, redefining technical service workflows across enterprise settings.",2024,arXiv.org,10.48550/arXiv.2412.12006,https://www.semanticscholar.org/paper/c1f8a0045d84c8d00cf83c274e36826e091c9a9f," Technical troubleshooting in enterprise environments often involves navigating diverse, heterogeneous data sources to resolve complex issues effectively . This paper presents a novel agentic AI solution built on a Weighted Retrieval-Augmented Generation (RAG) Framework tailored for enterprise technical troubleshooting .", <s> 
An Agentic AI-based Multi-Agent Framework for Recommender Systems,"I. Portugal, Paulo Alencar, Donald D. Cowan","Agentic AI describes the use of LLMs in novel AI agents that can answer questions or collaborate to achieve goals. These LLM agents can be used to build a novel generation of recommender systems. However, little is known about the LLM agents or their relationships needed to provide recommendations. Once identified, a framework can be constructed. Moreover, evaluating this framework is still not well understood. In this paper, we propose an agentic AI-based, multi-agent framework for recommender systems. We first identify LLM agents proposed in the literature, followed by the identification of their relationships and we propose a framework to represent them. Next, we evaluate this framework with respect to the LLM agents and functionalities of a recommender system based on published studies. This study is a stepping stone in a novel paradigm shift in the construction of recommender systems.",2024,BigData Congress [Services Society],10.1109/BigData62323.2024.10825765,https://www.semanticscholar.org/paper/1b463e8dbc63cd59641f3502c7c1a127573b1153, Agentic AI describes the use of LLMs in novel AI agents that can answer questions or collaborate to achieve goals . These LLM agents can be used to build a novel generation of recommender systems . Little is known about the LLMs or their relationships needed to provide recommendations ., 
